0, 288.212, 181.877
1, 300.052, 168.284
2, 288.211, 181.875
3, 288.208, 181.872
4, 288.237, 181.977
5, 288.064, 181.905
6, 288.064, 181.905
7, 288.064, 181.905
8, 288.054, 181.852
9, 288.057, 181.853
10, 288.039, 181.837
11, 288.039, 181.836
12, 288.071, 181.885
13, 288.061, 181.899
14, 288.038, 181.832
15, 288.022, 181.827
16, 288.028, 181.689
17, 288.022, 181.827
18, 287.640, 182.014
19, 286.487, 182.399
20, 291.716, 169.282
21, 286.487, 182.399
22, 289.460, 256.345
23, 286.487, 182.399
24, 286.680, 182.242
25, 286.487, 182.399
26, 286.485, 182.407
27, 286.515, 182.448
28, 286.603, 181.993
29, 286.485, 182.407
30, 281.025, 187.285
31, 281.016, 187.288
32, 281.049, 187.306
33, 280.965, 187.331
34, 280.964, 187.330
35, 280.958, 187.347
36, 280.958, 187.347
37, 285.873, 184.192
38, 280.786, 187.105
39, 280.525, 187.166
40, 280.580, 187.218
41, 280.533, 187.169
42, 296.676, 212.686
43, 280.487, 187.255
44, 280.477, 187.249
45, 280.425, 187.177
46, 280.438, 187.183
47, 280.883, 186.789
48, 280.786, 186.838
49, 304.100, 173.428
50, 280.424, 187.176
51, 280.425, 187.172
52, 280.421, 187.190
53, 280.129, 187.640
54, 280.351, 187.822
55, 280.075, 187.614
56, 280.304, 187.972
57, 280.091, 187.387
58, 280.072, 187.606
59, 280.107, 187.632
60, 278.649, 188.446
61, 279.164, 184.748
62, 279.930, 181.493
63, 278.639, 188.399
64, 278.634, 188.337
65, 278.129, 188.459
66, 278.128, 188.421
67, 278.143, 188.432
68, 278.225, 188.552
69, 278.104, 188.457
70, 279.265, 187.808
71, 278.219, 188.373
72, 278.112, 188.460
73, 278.078, 188.432
74, 278.708, 188.224
