0, 292.197, 447.546, 900, 25, 100
1, 243.536, 319.027, 900, 25, 100
2, 245.933, 196.788, 900, 25, 100
3, 230.501, 310.413, 900, 25, 100
4, 226.369, 248.241, 900, 25, 100
5, 313.480, 297.191, 900, 25, 100
6, 248.864, 379.846, 900, 25, 100
7, 245.106, 201.191, 900, 25, 100
8, 252.326, 393.398, 900, 25, 100
9, 237.763, 290.476, 900, 25, 100
10, 243.216, 299.370, 900, 25, 100
11, 274.769, 363.346, 900, 25, 100
12, 219.485, 241.085, 900, 25, 100
13, 218.958, 185.752, 900, 25, 100
14, 209.512, 241.788, 900, 25, 100
15, 245.331, 182.076, 900, 25, 100
16, 227.566, 275.046, 900, 25, 100
17, 247.426, 246.191, 900, 25, 100
18, 209.485, 246.503, 900, 25, 100
19, 212.406, 269.810, 900, 25, 100
20, 230.989, 236.799, 900, 25, 100
21, 220.420, 349.593, 900, 25, 100
22, 226.800, 284.406, 900, 25, 100
23, 221.352, 354.220, 900, 25, 100
24, 221.804, 263.028, 900, 25, 100
25, 241.946, 323.929, 900, 25, 100
26, 215.687, 322.217, 900, 25, 100
27, 208.089, 245.601, 900, 25, 100
28, 215.815, 326.051, 900, 25, 100
29, 219.507, 241.052, 900, 25, 100
30, 197.870, 283.655, 900, 25, 100
31, 224.975, 288.999, 900, 25, 100
32, 219.459, 342.915, 900, 25, 100
33, 209.451, 242.134, 900, 25, 100
34, 221.143, 328.280, 900, 25, 100
35, 215.686, 277.998, 900, 25, 100
36, 197.058, 285.314, 900, 25, 100
37, 219.148, 345.455, 900, 25, 100
38, 208.806, 253.902, 900, 25, 100
39, 220.392, 350.506, 900, 25, 100
40, 217.181, 251.114, 900, 25, 100
41, 240.586, 255.431, 900, 25, 100
42, 197.877, 282.610, 900, 25, 100
43, 240.840, 217.635, 900, 25, 100
44, 215.203, 194.747, 900, 25, 100
45, 207.613, 293.501, 900, 25, 100
46, 207.651, 293.667, 900, 25, 100
47, 208.785, 252.542, 900, 25, 100
48, 207.164, 287.812, 900, 25, 100
49, 208.913, 264.606, 900, 25, 100
50, 206.978, 252.884, 900, 25, 100
51, 209.623, 242.029, 900, 25, 100
52, 203.547, 256.809, 900, 25, 100
53, 217.630, 249.195, 900, 25, 100
54, 209.752, 241.113, 900, 25, 100
55, 217.039, 264.832, 900, 25, 100
56, 207.704, 257.161, 900, 25, 100
57, 212.010, 238.843, 900, 25, 100
58, 200.167, 325.938, 900, 25, 100
59, 205.202, 284.772, 900, 25, 100
60, 225.031, 288.761, 900, 25, 100
61, 224.163, 233.774, 900, 25, 100
62, 198.372, 277.120, 900, 25, 100
63, 198.612, 273.368, 900, 25, 100
64, 210.643, 261.007, 900, 25, 100
65, 204.038, 257.858, 900, 25, 100
66, 239.205, 313.857, 900, 25, 100
67, 196.625, 296.299, 900, 25, 100
68, 209.593, 249.733, 900, 25, 100
69, 209.182, 242.489, 900, 25, 100
70, 198.619, 273.338, 900, 25, 100
71, 294.255, 455.304, 900, 25, 100
72, 206.011, 343.638, 900, 25, 100
73, 210.019, 242.116, 900, 25, 100
74, 196.729, 284.074, 900, 25, 100
